,ValidationAccuracy,Bias,Variance,Time,Model
0,0.9166666666666666,7.916666666666667,0.015,4.007270336151123,Adaboost
1,0.9166666666666666,7.916666666666667,0.0033333333333333335,4.090004205703735,Adaboost
2,0.9166666666666666,7.916666666666667,0.0,4.124998092651367,Adaboost
3,0.9166666666666666,7.916666666666667,0.0,4.01599907875061,Adaboost
4,0.9166666666666666,7.916666666666667,0.04833333333333334,3.9890005588531494,Adaboost
5,0.75,8.0,0.05666666666666667,4.014998435974121,Adaboost
6,0.75,7.916666666666667,0.10666666666666669,4.0180041790008545,Adaboost
7,0.5,7.916666666666667,0.17166666666666672,4.060999870300293,Adaboost
8,0.9166666666666666,7.916666666666667,0.21333333333333335,3.9789962768554688,Adaboost
9,1.0,7.833333333333333,0.0,4.060999393463135,Adaboost
10,1.0,7.833333333333333,0.0,4.103000640869141,Adaboost
11,1.0,7.833333333333333,0.0,4.222003221511841,Adaboost
12,1.0,7.833333333333333,0.0,4.160999298095703,Adaboost
13,1.0,7.833333333333333,0.02666666666666667,4.113000869750977,Adaboost
14,1.0,7.833333333333333,0.03166666666666667,4.080996751785278,Adaboost
15,1.0,7.833333333333333,0.065,4.102002382278442,Adaboost
16,0.6666666666666666,7.833333333333333,0.11500000000000003,4.010996580123901,Adaboost
17,1.0,7.833333333333333,0.20333333333333337,4.02700400352478,Adaboost
18,0.8333333333333334,7.833333333333333,0.013333333333333334,3.868995428085327,Adaboost
19,0.8333333333333334,7.833333333333333,0.016666666666666666,3.819000720977783,Adaboost
20,0.8333333333333334,7.833333333333333,0.028333333333333332,3.849003314971924,Adaboost
21,0.8333333333333334,7.833333333333333,0.03,3.866997718811035,Adaboost
22,0.8333333333333334,7.833333333333333,0.09166666666666667,3.824002265930176,Adaboost
23,0.8333333333333334,7.833333333333333,0.09000000000000001,3.8599963188171387,Adaboost
24,0.8333333333333334,7.833333333333333,0.12166666666666666,3.998004198074341,Adaboost
25,0.8333333333333334,7.833333333333333,0.14,3.9560000896453857,Adaboost
26,0.8333333333333334,7.916666666666667,0.18500000000000003,4.030999422073364,Adaboost
27,1.0,7.833333333333333,0.03333333333333333,3.9679954051971436,Adaboost
28,1.0,7.833333333333333,0.0033333333333333335,3.9720001220703125,Adaboost
