,LearningRate,WindowSize,ValidationAccuracy,Bias,Variance,Time
593,1.3250000000000002,25,1.0,7.833333333333333,0.043333333333333335,5.023019790649414
594,1.9375000000000002,1,1.0,7.833333333333333,0.03666666666666667,9.802999496459961
595,1.9375000000000002,2,1.0,7.833333333333333,0.03333333333333333,6.283002138137817
596,1.9375000000000002,4,1.0,7.833333333333333,0.03166666666666667,5.5989978313446045
597,1.9375000000000002,100,1.0,7.833333333333333,0.03333333333333333,4.371004819869995
598,1.9375000000000002,5,1.0,7.833333333333333,0.028333333333333335,5.243994951248169
599,1.9375000000000002,10,1.0,7.833333333333333,0.03333333333333333,5.241000413894653
600,1.9375000000000002,50,1.0,7.833333333333333,0.030000000000000002,5.974999904632568
601,1.9375000000000002,20,1.0,7.833333333333333,0.041666666666666664,4.871000528335571
602,1.9375000000000002,25,1.0,7.833333333333333,0.03333333333333333,4.994999170303345
603,2.5500000000000003,1,1.0,7.833333333333333,0.03666666666666667,9.725000381469727
604,2.5500000000000003,2,0.9166666666666666,7.833333333333333,0.03333333333333333,6.300999879837036
605,2.5500000000000003,4,1.0,7.833333333333333,0.02,5.541999816894531
606,2.5500000000000003,100,0.75,8.0,0.10833333333333332,4.514002323150635
607,2.5500000000000003,5,1.0,7.833333333333333,0.03,5.219015598297119
608,2.5500000000000003,10,1.0,7.833333333333333,0.034999999999999996,5.278000354766846
609,2.5500000000000003,50,0.9166666666666666,7.833333333333333,0.06666666666666667,6.117003917694092
610,2.5500000000000003,20,1.0,7.833333333333333,0.04833333333333334,4.8909995555877686
611,2.5500000000000003,25,1.0,8.0,0.05833333333333334,5.09000301361084
612,3.1625,1,1.0,7.833333333333333,0.03666666666666667,9.74999713897705
613,3.1625,2,0.9166666666666666,7.833333333333333,0.041666666666666664,6.24600076675415
614,3.1625,4,1.0,7.833333333333333,0.02,5.578000068664551
615,3.1625,100,0.8333333333333334,7.833333333333333,0.10333333333333333,4.797001838684082
616,3.1625,5,1.0,7.833333333333333,0.030000000000000002,5.241000413894653
617,3.1625,10,1.0,7.833333333333333,0.045000000000000005,5.459996938705444
618,3.1625,50,1.0,7.833333333333333,0.09500000000000001,6.0940001010894775
619,3.1625,20,0.9166666666666666,7.833333333333333,0.06,4.868000268936157
620,3.1625,25,0.9166666666666666,8.0,0.06666666666666667,5.1389994621276855
621,3.7750000000000004,1,1.0,7.833333333333333,0.03666666666666667,9.798001050949097
622,3.7750000000000004,2,0.9166666666666666,7.833333333333333,0.036666666666666674,6.25999903678894
623,3.7750000000000004,4,1.0,7.833333333333333,0.015000000000000001,5.565999984741211
624,3.7750000000000004,100,1.0,7.833333333333333,0.15500000000000003,4.717000246047974
625,3.7750000000000004,5,1.0,7.833333333333333,0.028333333333333335,5.243999719619751
626,3.7750000000000004,10,1.0,7.833333333333333,0.041666666666666664,5.287003040313721
627,3.7750000000000004,50,1.0,7.833333333333333,0.11333333333333334,6.163998126983643
628,3.7750000000000004,20,0.9166666666666666,7.833333333333333,0.05666666666666668,4.891001462936401
629,3.7750000000000004,25,1.0,7.833333333333333,0.05833333333333334,5.113003253936768
630,4.3875,1,1.0,7.833333333333333,0.03666666666666667,9.942975521087646
631,4.3875,2,0.9166666666666666,7.833333333333333,0.03666666666666667,6.208999156951904
632,4.3875,4,1.0,7.833333333333333,0.021666666666666667,5.511109828948975
633,4.3875,100,0.9166666666666666,7.833333333333333,0.16499999999999998,4.887534856796265
634,4.3875,5,1.0,7.833333333333333,0.03,5.300061225891113
635,4.3875,10,1.0,7.833333333333333,0.045000000000000005,5.299750089645386
636,4.3875,50,0.9166666666666666,7.833333333333333,0.155,6.036001205444336
637,4.3875,20,0.9166666666666666,7.833333333333333,0.06666666666666667,4.854998350143433
638,4.3875,25,1.0,7.833333333333333,0.07166666666666667,5.2290003299713135
639,5.0,1,1.0,7.833333333333333,0.03666666666666667,10.484997272491455
640,5.0,2,0.9166666666666666,7.833333333333333,0.03833333333333334,6.3049986362457275
641,5.0,4,1.0,7.833333333333333,0.02,5.670000314712524
642,5.0,100,0.9166666666666666,7.833333333333333,0.155,4.887003660202026
643,5.0,5,1.0,7.833333333333333,0.03,5.729996204376221
644,5.0,10,1.0,7.833333333333333,0.045000000000000005,5.440999984741211
645,5.0,50,0.8333333333333334,7.833333333333333,0.13666666666666666,6.229999303817749
646,5.0,20,0.5,7.833333333333333,0.05833333333333333,4.994001865386963
647,5.0,25,1.0,7.833333333333333,0.08333333333333333,5.075999975204468
648,0.1,1,1.0,6.5,0.0016666666666666668,9.879999876022339
649,0.1,2,1.0,6.5,0.0,6.482003450393677
650,0.1,4,1.0,6.5,0.0,5.789995908737183
651,0.1,100,1.0,6.5,0.021666666666666667,4.333914756774902
652,0.1,5,1.0,6.5,0.0,5.231000661849976
653,0.1,10,1.0,6.5,0.0,5.328003883361816
654,0.1,50,1.0,6.5,0.018333333333333337,5.922999858856201
655,0.1,20,1.0,6.5,0.0,4.9500181674957275
656,0.1,25,1.0,6.5,0.0,5.061741828918457
657,0.7125,1,1.0,6.5,0.0016666666666666668,9.800269842147827
658,0.7125,2,1.0,6.5,0.0,6.3349997997283936
659,0.7125,4,1.0,6.5,0.0,5.621002197265625
660,0.7125,100,1.0,6.5,0.0033333333333333335,4.579000473022461
661,0.7125,5,1.0,6.5,0.0,6.1189985275268555
662,0.7125,10,1.0,6.5,0.0,5.5360023975372314
663,0.7125,50,1.0,6.5,0.0033333333333333335,6.0410003662109375
664,0.7125,20,1.0,6.5,0.0,5.091003894805908
665,0.7125,25,1.0,6.5,0.0,5.256000995635986
666,1.3250000000000002,1,1.0,6.5,0.0016666666666666668,10.342998743057251
667,1.3250000000000002,2,1.0,6.5,0.0,6.52700138092041
668,1.3250000000000002,4,1.0,6.5,0.0,5.714998483657837
669,1.3250000000000002,100,1.0,6.5,0.0033333333333333335,4.425999879837036
670,1.3250000000000002,5,1.0,6.5,0.0,5.46399998664856
671,1.3250000000000002,10,1.0,6.5,0.0,5.46500039100647
672,1.3250000000000002,50,1.0,6.5,0.015,6.230000257492065
673,1.3250000000000002,20,1.0,6.5,0.0016666666666666668,5.06299901008606
674,1.3250000000000002,25,1.0,6.5,0.0,5.297000408172607
675,1.9375000000000002,1,1.0,6.5,0.0016666666666666668,10.48199987411499
676,1.9375000000000002,2,1.0,6.5,0.0,6.708000183105469
